clean_train_acc,adv_train_acc,clean_train_loss,adv_train_loss,train_acc,train_loss,clean_val_acc,adv_val_acc,clean_val_loss,adv_val_loss,val_acc,val_loss,curr_epoch
0.4086526315789473,0.35210526315789475,1.6061873717057078,1.7188291253541645,0.3803789473684211,1.6625082507886384,0.5396,0.3644,1.2904969596862792,1.6773338556289672,0.45199999999999996,1.4839154005050659,0
0.5969684210526315,0.4694315789473685,1.1164586126176934,1.3700934608359085,0.5332,1.243276035283741,0.6576000000000001,0.4244,0.9727143979072571,1.5401771020889283,0.5409999999999999,1.2564457607269288,1
0.6815368421052632,0.5297473684210526,0.9032804210562455,1.2116396045684814,0.6056421052631578,1.0574600120594626,0.6756,0.4824,0.9754857659339905,1.602632875442505,0.579,1.2890593194961548,2
0.7253894736842104,0.565557894736842,0.7832465493051629,1.115560413410789,0.6454736842105262,0.9494034818599099,0.7396,0.5056,0.7485439729690552,1.3710038185119628,0.6225999999999999,1.059773898124695,3
0.7574736842105262,0.595663157894737,0.6938629017378155,1.0484487513491982,0.6765684210526316,0.8711558259160895,0.7396,0.5248,0.7411870408058167,1.319282145500183,0.6322,1.030234603881836,4
0.7809052631578948,0.6152,0.6288255227239509,0.9965736839645787,0.6980526315789474,0.8126996024031388,0.7776,0.5864,0.6536987972259521,1.1588225603103637,0.682,0.9062606811523437,5
0.801221052631579,0.642021052631579,0.5737021789425297,0.9402182901533026,0.7216210526315789,0.7569602340146115,0.7876000000000001,0.5568,0.6096390843391418,1.223842566013336,0.6722,0.9167408132553101,6
0.8162736842105264,0.6596,0.5322331644986805,0.8934434784086127,0.7379368421052631,0.7128383210458253,0.8124000000000001,0.5551999999999999,0.555548757314682,1.2701106214523314,0.6838,0.912829692363739,7
0.8270736842105263,0.6726736842105263,0.5026132366531774,0.8645659844498885,0.7498736842105264,0.6835896102378243,0.7904000000000001,0.5632,0.6118003368377686,1.271217885017395,0.6768000000000002,0.9415091133117676,8
0.8388210526315789,0.6851578947368421,0.4696879186128315,0.8306014058464452,0.7619894736842105,0.6501446615394793,0.8264,0.5816,0.5398613226413727,1.1743255901336669,0.704,0.857093448638916,9
0.8474105263157894,0.6993052631578947,0.44406588516737283,0.8011462970783836,0.7733578947368421,0.6226060914365869,0.8175999999999999,0.5636000000000001,0.5331194448471069,1.2939866161346436,0.6906,0.9135530304908752,10
0.8553473684210525,0.7102736842105263,0.4183792780574999,0.7730313180622301,0.7828105263157895,0.5957052993774414,0.8188000000000001,0.5792,0.5480143177509308,1.2065273857116698,0.6990000000000001,0.8772708487510681,11
0.8645894736842106,0.7189684210526316,0.3936384762274592,0.7515718100572887,0.7917789473684211,0.572605143471768,0.8156,0.5896,0.5698792338371277,1.2125365352630615,0.7025999999999999,0.8912078857421875,12
0.8707789473684211,0.7239157894736843,0.37825263089255284,0.7295681551883095,0.7973473684210527,0.553910391330719,0.8240000000000001,0.5588000000000001,0.5293065404891968,1.3174488353729248,0.6914,0.9233776879310608,13
0.8756,0.7311368421052632,0.36507252642982885,0.7143510031700134,0.8033684210526316,0.5397117644862125,0.8231999999999999,0.5668,0.5388948988914489,1.3087151908874513,0.6949999999999998,0.9238050484657288,14
0.8796,0.7415789473684209,0.34895202611622056,0.6926424798212554,0.8105894736842104,0.5207972529059962,0.8311999999999999,0.5996,0.5180098092556,1.2085210037231446,0.7154,0.8632654070854187,15
0.885221052631579,0.7500631578947369,0.3334784374425286,0.6668926019417613,0.8176421052631578,0.5001855188294461,0.8216,0.6052000000000001,0.5779730904102326,1.191886374950409,0.7133999999999999,0.8849297308921814,16
0.8893263157894737,0.7566736842105263,0.3206519299431851,0.6510968456142827,0.8230000000000001,0.48587438909631026,0.8331999999999999,0.5628,0.5013234114646912,1.3389552116394043,0.698,0.9201393055915833,17
0.8944842105263158,0.7611368421052631,0.30773333682825693,0.6386832305004723,0.8278105263157896,0.4732082826212833,0.8312,0.6068,0.5507866442203522,1.204903175830841,0.7190000000000001,0.8778449058532715,18
0.8966315789473683,0.7669263157894736,0.2954388654859442,0.6218991728832847,0.8317789473684211,0.4586690191846145,0.8396000000000001,0.5868,0.4717132008075714,1.3065683078765868,0.7132,0.8891407537460327,19
0.9028842105263158,0.7693263157894737,0.28311974003126744,0.6102765440940857,0.8361052631578947,0.4466981428234201,0.8488000000000001,0.5764,0.4868319129943848,1.357548532485962,0.7125999999999999,0.922190227508545,20
0.9049263157894738,0.7770105263157896,0.27628098070621493,0.6003134177860461,0.8409684210526317,0.4382971995755246,0.8443999999999999,0.6076,0.4959635329246521,1.2384740543365478,0.726,0.8672187972068787,21
0.9083368421052631,0.7798105263157894,0.2687315788237672,0.58763200734791,0.8440736842105263,0.428181792936827,0.8432000000000001,0.6128,0.4933454215526581,1.1867861604690553,0.7279999999999999,0.8400657892227172,22
0.9118105263157894,0.7887157894736841,0.2573345379296102,0.5643904239880412,0.8502631578947368,0.41086248062158887,0.8248000000000001,0.6008,0.5962719988822937,1.2964961957931518,0.7128,0.9463840961456299,23
0.9131157894736842,0.794021052631579,0.2500395836641914,0.5548716956063321,0.8535684210526315,0.4024556398391724,0.8216,0.6043999999999999,0.5620985746383667,1.2116839647293092,0.713,0.8868912696838379,24
0.9159157894736842,0.7974315789473686,0.24130421193022478,0.5456500547183187,0.8566736842105264,0.3934771331987883,0.852,0.5976,0.46248181104660036,1.3201253271102906,0.7248,0.8913035750389099,25
