train_acc,train_loss,val_acc,val_loss,curr_epoch
0.7629052631578948,0.6934613,0.7956,0.65594244,0
0.8153684210526316,0.5432013,0.8395999999999999,0.5200911,1
0.837978947368421,0.47019947,0.8467999999999999,0.50535655,2
0.8468421052631578,0.4515501,0.8572,0.45768285,3
0.8601263157894738,0.40412757,0.8408,0.5070352,4
0.868063157894737,0.38045827,0.8528,0.49591246,5
0.8729684210526315,0.3668507,0.8607999999999998,0.48047772,6
0.8786947368421053,0.3537747,0.8572000000000002,0.5074299,7
0.8850526315789474,0.33504137,0.8728,0.4328194,8
0.8873052631578948,0.32386878,0.852,0.51489097,9
0.8941894736842105,0.30483302,0.872,0.45895028,10
0.895242105263158,0.29766744,0.8652000000000001,0.47167152,11
0.8974947368421053,0.29277375,0.866,0.48553437,12
0.9013684210526315,0.28004918,0.8715999999999999,0.45135868,13
0.9058526315789474,0.26746055,0.8688000000000001,0.46724728,14
0.9029052631578948,0.27221918,0.8724000000000001,0.45187896,15
0.908821052631579,0.2629189,0.8604000000000002,0.5410963,16
0.914442105263158,0.24425617,0.872,0.4808504,17
0.9131578947368421,0.24569136,0.88,0.4246461,18
0.9150947368421053,0.2395153,0.8787999999999999,0.4525963,19
0.9189894736842105,0.23010282,0.8752,0.46611613,20
0.9461263157894736,0.14796904,0.8952,0.3829702,21
0.9552,0.1276215,0.8980000000000001,0.37691593,22
0.9561052631578947,0.124527745,0.8996000000000001,0.3818599,23
0.9584,0.11642545,0.8968,0.39123976,24
0.9588,0.11515011,0.9008000000000002,0.38594958,25
0.9619789473684212,0.10967745,0.9000000000000001,0.39176968,26
0.9622947368421052,0.10693811,0.8980000000000001,0.39256245,27
0.9639578947368421,0.10302548,0.8967999999999999,0.39802837,28
0.9637473684210527,0.101177864,0.8976000000000001,0.4012125,29
0.9653052631578947,0.10070471,0.8967999999999999,0.39073986,30
0.9652421052631579,0.096348636,0.8988,0.3956785,31
0.9658315789473684,0.09660072,0.9007999999999998,0.40330493,32
0.9672210526315789,0.0952966,0.9004000000000001,0.39933056,33
0.9672210526315791,0.092285395,0.8964,0.40737626,34
0.9674947368421053,0.09259854,0.8992,0.412593,35
0.9684631578947369,0.0909357,0.8992,0.40545958,36
0.970084210526316,0.08708595,0.8988,0.41532403,37
0.9695578947368422,0.086751536,0.9024000000000001,0.41318473,38
0.97,0.0848331,0.8992,0.4077013,39
0.9702105263157895,0.08639572,0.9016,0.4089467,40
0.9722105263157896,0.080897585,0.9008000000000002,0.41338187,41
0.9718105263157895,0.08079987,0.9016,0.40751377,42
0.9732210526315791,0.078222655,0.9,0.40853584,43
0.9744631578947371,0.077704705,0.9003999999999999,0.41048673,44
0.9725263157894737,0.07924417,0.9024000000000001,0.4105885,45
0.9731157894736843,0.077766635,0.8996000000000001,0.40975526,46
0.972484210526316,0.077975,0.9004000000000002,0.41221428,47
0.9732842105263158,0.07765267,0.9012,0.41316995,48
0.9734947368421053,0.078331426,0.9024,0.40807885,49
